parent_station,stop_lon,stop_lat,stop_id,stop_name,location_type
,-4.0321715,5.3515438,node/6905719622,Carrefour Attecoubé,0
,-4.03386,5.3489601,node/6905719623,Banque Atlantique,0
,-4.0344246,5.3471108,node/6905719624,Commissariat du 10ᵉ arrondissement,0
,-4.0344802,5.3437946,node/6905719625,Attécoubé Terminus 04,0
,-4.0219475,5.3251603,node/6905772459,Saint Paul,0
,-4.0239746,5.3282245,node/6905772460,Immeuble Sogephia Hévéa,0
,-4.0245113,5.3337809,node/6905772461,Musée du Plateau,0
,-4.0160546,5.4383593,node/6905772466,Cours Sociaux,0
,-4.0275686,5.3590397,node/6905842305,Gare Nord,0
,-4.0224693,5.3252327,node/6905842307,Long Champs,0
,-3.9560075,5.293902,node/6906463287,Gare Koumassi,0
,-3.9602508,5.2928524,node/6906463288,Pharmacie Ehilie,0
,-3.966735,5.2913568,node/6906463289,Mosquée,0
,-3.980944,5.2956714,node/6906463290,Échangeur de Marcory,0
,-3.98845,5.2998527,node/6906463291,Grand carrefour Marcory,0
,-3.9976917,5.2998184,node/6906463292,Collège Moderne Autoroute,0
,-4.0026734,5.2999823,node/6906463293,Gare de Bassam,0
,-4.003273,5.3018099,node/6906463294,Ecobank,0
,-4.0155251,5.3534012,node/6906463296,Adjamé Liberté,0
,-4.0124238,5.4365892,node/6906507833,BICICI,0
,-4.0164467,5.3546594,node/6906575629,Adjamé - Liberté,0
,-4.0169033,5.3631417,node/6906575630,Williams-Ville,0
,-4.0157829,5.3658197,node/6906575631,Carrefour 2 plateaux,0
,-4.0156117,5.3662557,node/6906575632,[Arret sans nom],0
,-4.0122293,5.3716139,node/6906575633,Paillet,0
,-4.0112578,5.374069,node/6906575634,[Arret sans nom],0
,-4.005605,5.3898833,node/6906575635,[Arret sans nom],0
,-4.0065311,5.4045622,node/6906575636,[Arret sans nom],0
,-4.0064187,5.4113412,node/6906575637,[Arret sans nom],0
,-4.0064133,5.4126483,node/6906575638,ANADER,0
,-4.0064263,5.4148754,node/6906590689,Samake,0
,-4.0068417,5.41527,node/6906590691,Samake,0
,-4.0063152,5.4101483,node/6906590692,Chaîne avion,0
,-4.0063867,5.4073533,node/6906590693,1ere Boutique,0
,-4.0155634,5.3659384,node/6906590694,Carrefour 2 plateaux,0
,-4.0162927,5.3546002,node/6906590695,Adajmé Liberté,0
,-4.015528,5.35345,node/6906596960,Adjamé Liberté,0
,-4.0060884,5.3100359,node/6906596961,Nanan Yamousso,0
,-4.0044435,5.3054677,node/6906596962,Karwil,0
,-4.0036369,5.3031308,node/6906596963,Notre-dame,0
,-4.0026404,5.3003893,node/6906596964,Gare de Bassam,0
,-3.9983918,5.2998444,node/6906596965,Collège Moderne Autoroute,0
,-3.9859637,5.2987234,node/6906596966,Cap Sud,0
,-3.981013,5.2959351,node/6906596967,Échangeur Marcory,0
,-3.9675638,5.2912433,node/6906596968,Auto-école,0
,-3.964494,5.2919737,node/6906596969,Arrêt,0
,-3.9610541,5.292783,node/6906596970,Boulangerie,0
,-4.0069936,5.3790616,node/6906699462,ZOO,0
,-4.0065336,5.4074152,node/6906699463,1ere Boutique,0
,-4.0116794,5.3723989,node/6906699464,Paillet,0
,-4.0054621,5.3898979,node/6906699465,[Arret sans nom],0
,-4.0065122,5.3967647,node/6906699466,Arrêt Dokui,0
,-4.0063445,5.3968689,node/6906699467,Arrêt Dokui,0
,-4.0062842,5.4121402,node/6906699468,ANADER,0
,-4.0106347,5.4169293,node/6906699469,[Arret sans nom],0
,-4.0106159,5.4170815,node/6906699470,[Arret sans nom],0
,-4.0159368,5.4197017,node/6906699471,Abobo Mairie,0
,-4.0156192,5.4197512,node/6906699472,Abobo Mairie,0
,-4.0235294,5.3675641,node/6907121506,Gare Williamsville,0
,-4.0207037,5.3658243,node/6907121507,Mosquée,0
,-4.0189161,5.3643529,node/6907121508,Croix Bleue,0
,-4.0160715,5.3576606,node/6907121509,Agban avant le pont,0
,-4.0169929,5.3501391,node/6907121510,Pharmacie le Belier,0
,-4.0230855,5.3417336,node/6907121511,Indenié,0
,-4.018503,5.3220152,node/6907121512,Mairie du Plateau,0
,-4.0170059,5.3219502,node/6907121513,Institut Français,0
,-4.0144649,5.3195012,node/6907121514,CNPS,0
,-3.984068,5.3088742,node/6907121515,Gare Marcory,0
,-4.0033579,5.342209,node/6907141795,RTI,0
,-4.0029046,5.3459837,node/6907141796,Archibat,0
,-4.0007897,5.3356901,node/6907141797,Marché de Cocody,0
