trip_id,start_time,end_time,headway_secs
r11596888_Mo-Su,05:00:00,22:00:00,300
r11596889_Mo-Su,05:00:00,22:00:00,300
r11597011_Mo-Su,05:00:00,22:00:00,600
r11597010_Mo-Su,05:00:00,22:00:00,600
r11597019_Mo-Su,05:00:00,22:00:00,300
r11597020_Mo-Su,05:00:00,22:00:00,300
r11597136_Mo-Su,05:00:00,22:00:00,600
r11597122_Mo-Su,05:00:00,22:00:00,600
r11597168_Mo-Su,05:00:00,22:00:00,600
r11597167_Mo-Su,05:00:00,22:00:00,600
r11597200_Mo-Su,05:00:00,22:00:00,600
r11597199_Mo-Su,05:00:00,22:00:00,600
r11597454_Mo-Su,05:00:00,22:00:00,600
r11597455_Mo-Su,05:00:00,22:00:00,600
r11600233_Mo-Su,05:00:00,22:00:00,600
r11600232_Mo-Su,05:00:00,22:00:00,600
r11600298_Mo-Su,05:00:00,22:00:00,600
r11600297_Mo-Su,05:00:00,22:00:00,600
r11600481_Mo-Su,05:00:00,22:00:00,600
r11600480_Mo-Su,05:00:00,22:00:00,600
r11600995_Mo-Su,05:00:00,22:00:00,1200
r11600996_Mo-Su,05:00:00,22:00:00,1200
r11604246_Mo-Su,05:00:00,22:00:00,1200
r11604245_Mo-Su,05:00:00,22:00:00,1200
r11619623_Mo-Su,05:00:00,22:00:00,600
r11619624_Mo-Su,05:00:00,22:00:00,600
r11619657_Mo-Su,05:00:00,22:00:00,1200
r11619656_Mo-Su,05:00:00,22:00:00,1200
r11619703_Mo-Su,05:00:00,22:00:00,1200
r11619702_Mo-Su,05:00:00,22:00:00,1200
r11619876_Mo-Su,05:00:00,22:00:00,1200
r11619875_Mo-Su,05:00:00,22:00:00,1200
r11619937_Mo-Su,05:00:00,07:00:00,780
r11619937_Mo-Su,07:00:00,09:00:00,420
r11619937_Mo-Su,09:00:00,17:00:00,120
r11619937_Mo-Su,17:00:00,20:00:00,180
r11619938_Mo-Su,05:00:00,07:00:00,780
r11619938_Mo-Su,07:00:00,09:00:00,420
r11619938_Mo-Su,09:00:00,17:00:00,120
r11619938_Mo-Su,17:00:00,20:00:00,180
r11619998_Mo-Su,05:00:00,07:00:00,1020
r11619998_Mo-Su,07:00:00,09:00:00,660
r11619998_Mo-Su,09:00:00,17:00:00,240
r11619998_Mo-Su,17:00:00,20:00:00,420
r11619998_Mo-Su,20:00:00,22:00:00,1800
r11619999_Mo-Su,05:00:00,07:00:00,1020
r11619999_Mo-Su,07:00:00,09:00:00,660
r11619999_Mo-Su,09:00:00,17:00:00,240
r11619999_Mo-Su,17:00:00,20:00:00,420
r11619999_Mo-Su,20:00:00,22:00:00,1800
r11620020_Mo-Su,05:00:00,22:00:00,900
r11620021_Mo-Su,05:00:00,22:00:00,900
r11620049_Mo-Su,05:00:00,22:00:00,600
r11620050_Mo-Su,05:00:00,22:00:00,600
r11620884_Mo-Su,05:00:00,22:00:00,900
r11620885_Mo-Su,05:00:00,22:00:00,900
r11620903_Mo-Su,05:00:00,07:00:00,1800
r11620903_Mo-Su,07:00:00,09:00:00,660
r11620903_Mo-Su,09:00:00,17:00:00,780
r11620903_Mo-Su,17:00:00,20:00:00,5400
r11620904_Mo-Su,05:00:00,07:00:00,1800
r11620904_Mo-Su,07:00:00,09:00:00,660
r11620904_Mo-Su,09:00:00,17:00:00,780
r11620904_Mo-Su,17:00:00,20:00:00,5400
r11702223_Mo-Su,05:00:00,22:00:00,300
r11702224_Mo-Su,05:00:00,22:00:00,300
r11702276_Mo-Su,05:00:00,22:00:00,600
r11702277_Mo-Su,05:00:00,22:00:00,600
r11702375_Mo-Su,05:00:00,22:00:00,1200
r11702374_Mo-Su,05:00:00,22:00:00,1200
r11702380_Mo-Su,05:00:00,22:00:00,300
r11702379_Mo-Su,05:00:00,22:00:00,300
r11702591_Mo-Su,05:00:00,22:00:00,1200
r11702590_Mo-Su,05:00:00,22:00:00,1200
r11702771_Mo-Su,05:00:00,22:00:00,1200
r11702770_Mo-Su,05:00:00,22:00:00,1200
r11702873_Mo-Su,05:00:00,22:00:00,600
r11702872_Mo-Su,05:00:00,22:00:00,600
r11702963_Mo-Su,09:00:00,17:00:00,360
r11702963_Mo-Su,17:00:00,20:00:00,660
r11702964_Mo-Su,09:00:00,17:00:00,360
r11702964_Mo-Su,17:00:00,20:00:00,660
r11703070_Mo-Su,05:00:00,22:00:00,1200
r11703069_Mo-Su,05:00:00,22:00:00,1200
r11703074_Mo-Su,05:00:00,22:00:00,600
r11703075_Mo-Su,05:00:00,22:00:00,600
r11703112_Mo-Su,05:00:00,22:00:00,900
r11703111_Mo-Su,05:00:00,22:00:00,900
r11703127_Mo-Su,05:00:00,22:00:00,1200
r11703126_Mo-Su,05:00:00,22:00:00,1200
r11703169_Mo-Su,05:00:00,22:00:00,600
r11703170_Mo-Su,05:00:00,22:00:00,600
r11703221_Mo-Su,05:00:00,22:00:00,900
r11703222_Mo-Su,05:00:00,22:00:00,900
r11703303_Mo-Su,05:00:00,22:00:00,600
r11703302_Mo-Su,05:00:00,22:00:00,600
r11758496_Mo-Su,05:00:00,07:00:00,7200
r11758496_Mo-Su,07:00:00,17:00:00,900
r11758496_Mo-Su,17:00:00,20:00:00,2160
r11758497_Mo-Su,05:00:00,07:00:00,7200
r11758497_Mo-Su,07:00:00,17:00:00,900
r11758497_Mo-Su,17:00:00,20:00:00,2160
r11758555_Mo-Su,07:00:00,09:00:00,7200
r11758555_Mo-Su,09:00:00,17:00:00,1920
r11758554_Mo-Su,07:00:00,09:00:00,7200
r11758554_Mo-Su,09:00:00,17:00:00,1920
r13411242_Mo-Su,05:00:00,22:00:00,1500
r13411243_Mo-Su,05:00:00,22:00:00,1500
r13421218_Mo-Su,05:00:00,22:00:00,3600
r13421217_Mo-Su,05:00:00,22:00:00,3600
r13421391_Mo-Su,05:00:00,22:00:00,300
r13421392_Mo-Su,05:00:00,22:00:00,300
r13423260_Mo-Su,05:00:00,22:00:00,240
r13423261_Mo-Su,05:00:00,22:00:00,240
r13423302_Mo-Su,05:00:00,22:00:00,480
r13423301_Mo-Su,05:00:00,22:00:00,480
r13438123_Mo-Su,05:00:00,22:00:00,2700
r13438122_Mo-Su,05:00:00,22:00:00,2700
r13438312_Mo-Su,05:00:00,22:00:00,3000
